nome,ano,sexo
Jennifer,1983,F
Jessica,1983,F
Amanda,1983,F
Ashley,1983,F
Sarah,1983,F
Melissa,1983,F
Nicole,1983,F
Stephanie,1983,F
Heather,1983,F
Elizabeth,1983,F
Crystal,1983,F
Amy,1983,F
Michelle,1983,F
Tiffany,1983,F
Kimberly,1983,F
Christina,1983,F
Amber,1983,F
Erin,1983,F
Rebecca,1983,F
Rachel,1983,F
Megan,1983,F
Angela,1983,F
Laura,1983,F
Lauren,1983,F
Emily,1983,F
Kelly,1983,F
Lisa,1983,F
Jamie,1983,F
Danielle,1983,F
Andrea,1983,F
Sara,1983,F
Mary,1983,F
Erica,1983,F
Katherine,1983,F
Lindsey,1983,F
Lindsay,1983,F
Kristen,1983,F
Shannon,1983,F
April,1983,F
Samantha,1983,F
Alicia,1983,F
Kristin,1983,F
Maria,1983,F
Courtney,1983,F
Katie,1983,F
Julie,1983,F
Christine,1983,F
Holly,1983,F
Vanessa,1983,F
Kathryn,1983,F
Tara,1983,F
Natalie,1983,F
Monica,1983,F
Jacqueline,1983,F
Anna,1983,F
Brandi,1983,F
Brandy,1983,F
Victoria,1983,F
Allison,1983,F
Patricia,1983,F
Stacy,1983,F
Cynthia,1983,F
Kristina,1983,F
Brittany,1983,F
Carrie,1983,F
Catherine,1983,F
Leslie,1983,F
Veronica,1983,F
Diana,1983,F
Cassandra,1983,F
Natasha,1983,F
Dana,1983,F
Kathleen,1983,F
Valerie,1983,F
Meghan,1983,F
Stacey,1983,F
Karen,1983,F
Krystal,1983,F
Melanie,1983,F
Erika,1983,F
Kayla,1983,F
Leah,1983,F
Alexis,1983,F
Candice,1983,F
Julia,1983,F
Susan,1983,F
Misty,1983,F
Sandra,1983,F
Tracy,1983,F
Latoya,1983,F
Pamela,1983,F
Margaret,1983,F
Nichole,1983,F
Desiree,1983,F
Heidi,1983,F
Brooke,1983,F
Renee,1983,F
Jill,1983,F
Bethany,1983,F
Tina,1983,F
Kara,1983,F
Chelsea,1983,F
Teresa,1983,F
Candace,1983,F
Stefanie,1983,F
Dawn,1983,F
Sheena,1983,F
Katrina,1983,F
Denise,1983,F
Casey,1983,F
Sabrina,1983,F
Marquita,1983,F
Nancy,1983,F
Lori,1983,F
Jillian,1983,F
Alison,1983,F
Monique,1983,F
Miranda,1983,F
Linda,1983,F
Brenda,1983,F
Gina,1983,F
Theresa,1983,F
Rachael,1983,F
Hannah,1983,F
Wendy,1983,F
Robin,1983,F
Jaclyn,1983,F
Lacey,1983,F
Molly,1983,F
Anne,1983,F
Tamara,1983,F
Jenny,1983,F
Kristy,1983,F
Tanya,1983,F
Ebony,1983,F
Kelli,1983,F
Tabitha,1983,F
Melinda,1983,F
Joanna,1983,F
Adrienne,1983,F
Alisha,1983,F
Krista,1983,F
Barbara,1983,F
Colleen,1983,F
Kari,1983,F
Christy,1983,F
Tonya,1983,F
Meredith,1983,F
Deanna,1983,F
Carolyn,1983,F
Abigail,1983,F
Rebekah,1983,F
Caitlin,1983,F
Kristi,1983,F
Michele,1983,F
Tasha,1983,F
Ann,1983,F
Jaime,1983,F
Tammy,1983,F
Sharon,1983,F
Marie,1983,F
Bridget,1983,F
Alexandra,1983,F
Whitney,1983,F
Virginia,1983,F
Latasha,1983,F
Morgan,1983,F
Regina,1983,F
Beth,1983,F
Marissa,1983,F
Kendra,1983,F
Deborah,1983,F
Cassie,1983,F
Angel,1983,F
Jasmine,1983,F
Cheryl,1983,F
Cindy,1983,F
Carla,1983,F
Cristina,1983,F
Priscilla,1983,F
Felicia,1983,F
Ashlee,1983,F
Aimee,1983,F
Caroline,1983,F
Audrey,1983,F
Angelica,1983,F
Shawna,1983,F
Jodi,1983,F
Suzanne,1983,F
Janet,1983,F
Cara,1983,F
Donna,1983,F
Diane,1983,F
Jacquelyn,1983,F
Claudia,1983,F
Martha,1983,F
Mandy,1983,F
Nina,1983,F
Kate,1983,F
Abby,1983,F
